dataset,Bin_Center,mean_density,sd_density,n_datasets,se_density
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,870000.0,0.0052,0.006516133823057964,4,0.003258066911528982
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,880000.0,0.005375,0.006213091018164791,4,0.0031065455090823956
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,890000.0,0.0054,0.0062353829072479584,4,0.0031176914536239792
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,900000.0,0.0061,0.0072897187874430384,4,0.0036448593937215192
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,910000.0,0.005325,0.006351574607922039,4,0.0031757873039610193
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,920000.0,0.0114,0.0156207127451556,4,0.0078103563725778
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,930000.0,0.00455,0.005697660338536629,4,0.0028488301692683143
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,940000.0,0.002425,0.00485,4,0.002425
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,950000.0,0.0059,0.00834386001800126,2,0.0059
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,960000.0,0.0075,0.010606601717798213,2,0.0075
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,970000.0,0.0079,0.011172287142747452,2,0.0079
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,980000.0,0.0072,0.010182337649086284,2,0.0072
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,990000.0,0.00535,0.0075660425586960576,2,0.00535
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1000000.0,0.00555,0.007848885271170678,2,0.00555
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1010000.0,0.00495,0.007000357133746821,2,0.00495
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1020000.0,0.0053,0.007495331880577404,2,0.0053
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1030000.0,0.0052,0.007353910524340094,2,0.0052
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1040000.0,0.00605,0.008555992052357225,2,0.00605
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1050000.0,0.00565,0.007990306627407988,2,0.00565
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1060000.0,0.00615,0.008697413408594534,2,0.00615
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1070000.0,0.0057,0.008061017305526642,2,0.0057
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1080000.0,0.01065,0.015061374439273462,2,0.01065
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1090000.0,0.0,0.0,2,0.0
yWT03a_16_FDDP210317591-2a_L4_trimmed_forward_notrimmed.sorted.bam,1100000.0,0.0,0.0,2,0.0
