dataset,distance,mean_density,sd_density,n_datasets,se_density
strain_yWT04a,267.0,0.1204226463239464,0.061398264490483766,16,0.015349566122620941
strain_yWT04a,268.0,0.1319222560063932,0.06464855884605115,16,0.01616213971151279
strain_yWT04a,269.0,0.12868365341904178,0.07985756379492233,16,0.019964390948730582
strain_yWT04a,270.0,0.13895317077103406,0.07623432446171165,16,0.019058581115427912
strain_yWT04a,271.0,0.14141905383340764,0.07074838778501055,16,0.017687096946252638
strain_yWT04a,272.0,0.10844443781119179,0.06261762662493753,16,0.015654406656234382
strain_yWT04a,273.0,0.13688597449628248,0.07155189775341331,16,0.017887974438353327
strain_yWT04a,274.0,0.12635981560241719,0.07040832919478174,16,0.017602082298695435
strain_yWT04a,275.0,0.1536781621312672,0.07899221484988422,16,0.019748053712471056
strain_yWT04a,276.0,0.15696795165356175,0.0875620621050901,16,0.021890515526272525
strain_yWT04a,277.0,0.12754236770428906,0.0848855983600469,16,0.021221399590011725
strain_yWT04a,278.0,0.1510517219918467,0.081371874894624,16,0.020342968723656
strain_yWT04a,279.0,0.14021051696786777,0.07433783040697917,16,0.01858445760174479
strain_yWT04a,280.0,0.14756620458533332,0.06854283663896868,16,0.01713570915974217
strain_yWT04a,281.0,0.13802253585735436,0.06972589319541986,16,0.017431473298854964
strain_yWT04a,282.0,0.142281409653004,0.08095578223145061,16,0.020238945557862653
strain_yWT04a,283.0,0.1388532168777162,0.06389444813569542,16,0.015973612033923855
strain_yWT04a,284.0,0.14806341527699285,0.06762621624949776,16,0.01690655406237444
strain_yWT04a,285.0,0.13745769053320683,0.07496987402044292,16,0.01874246850511073
strain_yWT04a,286.0,0.15448160002218567,0.09273834569011831,16,0.023184586422529577
strain_yWT04a,287.0,0.12399279731621489,0.06333378105431998,16,0.015833445263579996
strain_yWT04a,288.0,0.13929977617468509,0.07961103400284687,16,0.019902758500711718
strain_yWT04a,289.0,0.15957270828949,0.09212706916779592,16,0.02303176729194898
strain_yWT04a,290.0,0.12424854083743786,0.08233296651276802,16,0.020583241628192004
strain_yWT04a,291.0,0.13437936952991858,0.057218397906862964,16,0.014304599476715741
strain_yWT04a,292.0,0.13122451227970933,0.0917259481219885,16,0.022931487030497126
strain_yWT04a,293.0,0.1703317612914915,0.0851610605532915,16,0.021290265138322877
strain_yWT04a,294.0,0.1170220366292278,0.056399281101796324,16,0.014099820275449081
strain_yWT04a,295.0,0.1520111602933234,0.0873204073064938,16,0.02183010182662345
strain_yWT04a,296.0,0.13965530142335972,0.07386850823914834,16,0.018467127059787085
strain_yWT04a,297.0,0.13293575370422211,0.0741424132923289,16,0.018535603323082225
strain_yWT04a,298.0,0.12698441678565778,0.09285374397999548,16,0.02321343599499887
strain_yWT04a,299.0,0.1602002410971407,0.10335983964377772,16,0.02583995991094443
strain_yWT04a,300.0,0.11177167320184254,0.07346077932719684,16,0.01836519483179921
strain_yWT04a,301.0,0.12828704772060023,0.07778818209381272,16,0.01944704552345318
strain_yWT04a,302.0,0.15750220498193732,0.10260995673141175,16,0.025652489182852938
strain_yWT04a,303.0,0.13795803328917147,0.0879755503863315,16,0.021993887596582874
strain_yWT04a,304.0,0.13510319072586555,0.07784559115595865,16,0.019461397788989664
strain_yWT04a,305.0,0.12369377577331313,0.06633355067707165,16,0.016583387669267913
strain_yWT04a,306.0,0.1120185018278769,0.06391447926464452,16,0.01597861981616113
strain_yWT04a,307.0,0.11562884052553543,0.07336499706236811,16,0.018341249265592028
strain_yWT04a,308.0,0.12227688673944195,0.06592154517012286,16,0.016480386292530715
strain_yWT04a,309.0,0.1522060389903706,0.10054824796945837,16,0.025137061992364592
strain_yWT04a,310.0,0.16775607044401797,0.1146912995504168,16,0.0286728248876042
strain_yWT04a,311.0,0.16472677810377204,0.07445660457423293,16,0.018614151143558234
strain_yWT04a,312.0,0.14822531841550243,0.07846196510435659,16,0.019615491276089147
strain_yWT04a,313.0,0.10851313643428305,0.09004712396590417,16,0.022511780991476042
strain_yWT04a,314.0,0.15585259610782792,0.0987135280956537,16,0.024678382023913426
strain_yWT04a,315.0,0.13384186804253673,0.08458742195183688,16,0.02114685548795922
strain_yWT04a,316.0,0.1516354391716874,0.061738946640449564,16,0.015434736660112391
strain_yWT04a,317.0,0.14144631521127798,0.09870292813899365,16,0.02467573203474841
strain_yWT04a,318.0,0.11131909845054345,0.07980590879430756,16,0.01995147719857689
strain_yWT04a,319.0,0.12675808705060793,0.09822627569130253,16,0.024556568922825633
strain_yWT04a,320.0,0.12712034443278206,0.10445819585756141,16,0.026114548964390354
strain_yWT04a,321.0,0.1262424719852424,0.10595775801607173,16,0.02648943950401793
strain_yWT04a,322.0,0.1369293871406467,0.08066069710220322,16,0.020165174275550805
strain_yWT04a,323.0,0.15628677572489125,0.10239054599561323,16,0.025597636498903308
strain_yWT04a,324.0,0.1256850028145095,0.07110064724043957,16,0.017775161810109893
strain_yWT04a,325.0,0.15856870604490741,0.12065335311448273,16,0.030163338278620683
strain_yWT04a,326.0,0.14803754069801137,0.09534787191019249,16,0.023836967977548123
strain_yWT04a,327.0,0.14973615698808018,0.09289226736503585,16,0.023223066841258962
strain_yWT04a,328.0,0.15364342014791593,0.11089997474248202,16,0.027724993685620505
